slice,cost_usd,tokens,turns,raw_turns,convs,managers,subagents,wall_h,active_h,projects
017,77.05,85354379,638,1564,23,5,18,34.22,13.49,"{""contracts"": 1, ""root"": 3, ""controller"": 1}"
054,76.71,93323636,599,1386,16,4,12,25.53,23.09,"{""contracts"": 1, ""root"": 2, ""controller"": 1}"
047,74.28,91546363,546,1321,12,3,9,5.08,8.12,"{""vscode-extension"": 1, ""worker"": 1, ""root"": 1}"
025,72.18,88417791,665,1644,20,7,13,12.46,14.83,"{""worker"": 2, ""root"": 4, ""bot"": 1}"
056,71.58,106058625,286,638,1,1,0,11.1,11.1,"{""root"": 1}"
030,64.27,80053208,639,1471,20,6,14,19.88,5.59,"{""contracts"": 1, ""root"": 3, ""controller"": 1, ""bot"": 1}"
007,61.37,71844270,668,1578,22,6,16,61.32,6.62,"{""contracts"": 1, ""root"": 2, ""controller"": 2, ""bot"": 1}"
057,56.94,83460316,623,1427,18,4,14,109.54,5.32,"{""worker"": 1, ""root"": 2, ""controller"": 1}"
027,53.29,56721435,528,1306,21,5,16,3.1,5.22,"{""contracts"": 1, ""root"": 2, ""controller"": 1, ""bot"": 1}"
068,48.38,54780090,434,1144,11,3,8,2.51,6.22,"{""worker"": 1, ""root"": 1, ""controller"": 1}"
059,48.08,60164867,535,1198,15,5,10,2.51,4.45,"{""vscode-extension"": 1, ""worker"": 1, ""root"": 2, ""controller"": 1}"
060,47.42,58670325,454,1218,12,4,8,2.38,4.04,"{""worker"": 1, ""contracts"": 1, ""root"": 2}"
185,45.99,59365213,240,669,5,1,4,3.58,3.77,"{""root"": 1}"
053,44.89,50424155,282,767,8,4,4,54.01,19.15,"{""root"": 4}"
015,44.11,54589881,475,1081,13,3,10,1.63,3.2,"{""worker"": 2, ""root"": 1}"
021,40.98,44175751,406,965,14,4,10,4.19,5.44,"{""contracts"": 1, ""root"": 1, ""controller"": 1, ""bot"": 1}"
051,39.94,49017077,351,833,8,3,5,2.68,3.67,"{""root"": 1, ""controller"": 1, ""bot"": 1}"
036,36.56,40871860,381,942,11,3,8,7.22,8.49,"{""root"": 2, ""controller"": 1}"
040,36.15,44859217,360,834,7,4,3,54.5,3.42,"{""worker"": 1, ""root"": 3}"
009,34.87,39898626,406,958,14,6,8,9.71,10.64,"{""worker"": 1, ""contracts"": 1, ""root"": 2, ""controller"": 2}"
001,34.43,39420356,362,834,12,4,8,97.22,9.02,"{""worker"": 1, ""root"": 3}"
045,32.57,31130505,209,539,5,4,1,207.91,13.43,"{""root"": 4}"
028,32.29,37628864,291,733,11,2,9,1.68,2.73,"{""worker"": 1, ""root"": 1}"
050,30.93,35352412,267,703,9,2,7,10.77,11.89,"{""worker"": 1, ""root"": 1}"
035,28.72,24603095,150,449,4,4,0,72.78,7.87,"{""root"": 4}"
032,24.15,24496367,198,508,8,2,6,2.65,3.41,"{""root"": 1, ""bot"": 1}"
010,23.34,21567133,307,708,13,4,9,10.08,11.14,"{""root"": 2, ""controller"": 1, ""bot"": 1}"
011,21.36,24856341,215,509,6,3,3,336.59,2.26,"{""root"": 2, ""controller"": 1}"
042,19.91,20707673,270,645,11,4,7,10.08,10.87,"{""contracts"": 1, ""root"": 1, ""controller"": 1, ""bot"": 1}"
022,14.85,15157641,231,544,10,3,7,0.9,1.61,"{""worker"": 1, ""contracts"": 1, ""root"": 1}"
008,13.96,13866318,132,331,4,2,2,12.12,2.7,"{""root"": 2}"
020,12.81,13234747,168,379,6,2,4,0.65,1.32,"{""root"": 1, ""bot"": 1}"
013,11.79,12155174,159,354,6,2,4,0.54,1.09,"{""root"": 1, ""bot"": 1}"
029,8.65,11039843,107,221,2,1,1,1.94,1.98,"{""root"": 1}"
037,8.1,6421063,96,252,5,2,3,0.31,0.61,"{""vscode-extension"": 1, ""root"": 1}"
016,5.96,6610247,69,170,2,1,1,0.83,0.89,"{""root"": 1}"
014,4.34,3247454,61,162,4,2,2,0.85,0.28,"{""worker"": 1, ""root"": 1}"
065,3.51,1889766,21,73,2,1,1,0.47,0.53,"{""root"": 1}"
064,1.33,292459,5,16,1,1,0,0.01,0.01,"{""root"": 1}"
