slice,kind,role,project,agent_type,session_id,start,end,dur_s,turns,raw_turns,tokens,cost_usd,note
002,subagent,subagent:general-purpose,worker,general-purpose,agent-ab5c00b709aa52e1a.jsonl,2026-06-19T07:36:36.625000+00:00,2026-06-19T07:37:56.702000+00:00,80,14,26,437199,0.44,Resolve worker code-review minors
002,subagent,subagent:general-purpose,worker,general-purpose,agent-a9e93440660456801.jsonl,2026-06-19T13:14:08.824000+00:00,2026-06-19T13:15:14.553000+00:00,66,11,22,346308,0.44,Fix flaky tunnel settle-loop test
002,subagent,subagent:general-purpose,root,general-purpose,agent-ae057fff6c8701eee.jsonl,2026-06-18T21:57:59.602000+00:00,2026-06-18T22:00:26.720000+00:00,147,7,27,171612,0.43,Research hand-written Go emitter feasibility
002,subagent,subagent:general-purpose,root,general-purpose,agent-a30d2d66ba45e3331.jsonl,2026-06-18T21:58:20.610000+00:00,2026-06-18T22:02:29.304000+00:00,249,12,31,284764,0.39,quicktype Go JSON tags and date-time
002,subagent,subagent:general-purpose,root,general-purpose,agent-a0cf93b2fb97f9bfd.jsonl,2026-06-18T21:58:40.222000+00:00,2026-06-18T22:03:20.699000+00:00,280,11,37,272344,0.37,quicktype Go known pain points
002,subagent,subagent:general-purpose,worker,general-purpose,agent-a52ee9fd2107427c0.jsonl,2026-06-19T13:16:02.951000+00:00,2026-06-19T13:18:09.091000+00:00,126,7,18,217445,0.36,Review flaky-test fix
002,subagent,subagent:general-purpose,root,general-purpose,agent-a440776c853e967a2.jsonl,2026-06-18T21:58:12.498000+00:00,2026-06-18T22:00:07.944000+00:00,115,10,25,214289,0.31,quicktype Go enum output
002,subagent,subagent:general-purpose,root,general-purpose,agent-a4e2455beadc37b29.jsonl,2026-06-18T21:58:02.580000+00:00,2026-06-18T21:59:50.463000+00:00,108,8,19,152223,0.29,quicktype maintenance and invocation
002,subagent,subagent:general-purpose,root,general-purpose,agent-a6cd22029bd6a5fa5.jsonl,2026-06-18T21:58:28.535000+00:00,2026-06-18T22:00:48.636000+00:00,140,10,28,216632,0.29,quicktype Go optional required additionalProperties
002,subagent,subagent:general-purpose,root,general-purpose,agent-a7f464e76e0e53996.jsonl,2026-06-18T21:57:44.318000+00:00,2026-06-18T22:00:25.868000+00:00,162,8,21,175022,0.26,Research oapi-codegen OpenAPI path
002,subagent,subagent:general-purpose,worker,general-purpose,agent-acf76b3fdc84f8427.jsonl,2026-06-19T12:59:50.536000+00:00,2026-06-19T13:01:31.749000+00:00,101,5,13,126874,0.26,Review Jenkinsfile buildvcs fix
002,subagent,subagent:general-purpose,worker,general-purpose,agent-a9cafc7595ebc6ede.jsonl,2026-06-19T12:58:21.547000+00:00,2026-06-19T12:58:55.662000+00:00,34,5,12,115486,0.25,Apply Jenkinsfile buildvcs fix
002,subagent,subagent:general-purpose,root,general-purpose,agent-ad20835a15eea488f.jsonl,2026-06-18T21:57:20.789000+00:00,2026-06-18T21:58:37.404000+00:00,77,5,14,91139,0.24,Research atombender/go-jsonschema original
002,subagent,subagent:Explore,controller,Explore,agent-a365706749dc6631e.jsonl,2026-06-19T07:52:47.742000+00:00,2026-06-19T07:53:10.894000+00:00,23,5,14,74920,0.04,Survey controller docs for required reading
003,manager,manager:root,root,,cfc4372b-0190-400d-8f27-69d687cea633,2026-06-19T15:07:41.267000+00:00,2026-06-19T23:09:04.086000+00:00,28883,401,862,159357366,99.76,127/221 mentions -> 003
003,manager,manager:root,root,,43c7ae94-776d-4238-8c35-724a6841154c,2026-06-19T06:26:51.757000+00:00,2026-06-19T16:48:39.587000+00:00,37308,114,426,39907649,38.04,168/855 mentions -> 003
003,manager,manager:worker,worker,,4f28a65f-5a95-4b40-bf09-b68031fdd040,2026-06-19T16:33:19.284000+00:00,2026-06-19T18:51:26.451000+00:00,8287,101,265,25553581,21.08,118/228 mentions -> 003
003,manager,manager:contracts,contracts,,a172e8e7-536e-4b43-921b-494ad836c372,2026-06-19T15:30:38.053000+00:00,2026-06-19T16:31:42.879000+00:00,3665,59,170,8418931,8.02,57/97 mentions -> 003
003,subagent,subagent:general-purpose,worker,general-purpose,agent-aa8cf8e731bd37a4c.jsonl,2026-06-19T17:17:23.649000+00:00,2026-06-19T17:31:30.197000+00:00,847,79,173,10940935,7.32,Implement session-core
003,subagent,subagent:general-purpose,worker,general-purpose,agent-a366832934f224561.jsonl,2026-06-19T18:22:52.819000+00:00,2026-06-19T18:35:20.140000+00:00,747,64,128,8184369,5.24,Implement split 2
003,manager,manager:bot,bot,,b014cc3d-58d8-4e1a-913f-47a923280072,2026-06-19T19:11:57.111000+00:00,2026-06-19T19:43:21.960000+00:00,1885,40,107,4721865,5.12,28/39 mentions -> 003
003,manager,manager:root,root,,c8d80405-09d3-42b7-b951-a34f37d9ceca,2026-06-20T06:39:42.642000+00:00,2026-06-20T07:01:25.761000+00:00,1303,46,114,4885838,4.97,45/82 mentions -> 003
003,manager,manager:root,root,,d314c73f-6a9d-450f-8beb-d91364f3386a,2026-06-25T21:23:29.276000+00:00,2026-06-25T21:49:07.575000+00:00,1538,32,82,3030477,4.26,26/294 mentions -> 003
003,manager,manager:controller,controller,,ed565a66-4729-4f3e-8c98-69d0b386ea62,2026-06-19T18:53:17.890000+00:00,2026-06-19T19:11:02.216000+00:00,1064,33,101,3217133,3.73,26/37 mentions -> 003
003,subagent,subagent:general-purpose,root,general-purpose,agent-a3601663b363c1fb5.jsonl,2026-06-19T16:38:51.214000+00:00,2026-06-19T16:47:59.491000+00:00,548,70,119,4883168,3.17,Fix slice 004 worker-controller transport to SSE
003,subagent,subagent:general-purpose,root,general-purpose,agent-a45a58c67a5699a7e.jsonl,2026-06-19T14:24:21.532000+00:00,2026-06-19T15:26:13.826000+00:00,3712,28,63,2072180,3.15,Author slice 005 env setup scripts
003,subagent,subagent:slice-verifier,root,slice-verifier,agent-a5bbcfb1408de3eda.jsonl,2026-06-19T19:45:51.301000+00:00,2026-06-19T19:59:07.632000+00:00,796,35,79,2222911,2.87,Independently verify slice 003
003,subagent,subagent:general-purpose,bot,general-purpose,agent-aa8ae0d2e2b00391e.jsonl,2026-06-19T19:33:14.114000+00:00,2026-06-19T19:38:00.732000+00:00,287,43,86,4052471,2.78,Implement bot Sessions view
003,subagent,subagent:general-purpose,worker,general-purpose,agent-a9bd86427a2d521fd.jsonl,2026-06-19T18:36:37.856000+00:00,2026-06-19T18:41:33.189000+00:00,295,32,72,3647621,2.69,Review split-2 implementation
003,subagent,subagent:general-purpose,contracts,general-purpose,agent-a310a8515e7e7f66f.jsonl,2026-06-19T16:17:05.800000+00:00,2026-06-19T16:22:27.479000+00:00,322,39,83,3505738,2.48,Implement contracts slice-003
003,subagent,subagent:general-purpose,root,general-purpose,agent-ad64a10e50a651849.jsonl,2026-06-19T14:24:36.638000+00:00,2026-06-19T14:31:23.421000+00:00,407,30,67,2306791,2.39,Author slice 006 env sync
003,subagent,subagent:general-purpose,worker,general-purpose,agent-adb20e9bacfcf7fb0.jsonl,2026-06-19T17:59:04.738000+00:00,2026-06-19T18:07:39.092000+00:00,514,22,56,2243650,2.28,Write split-2 plan
003,subagent,subagent:general-purpose,worker,general-purpose,agent-a25f210886addca6c.jsonl,2026-06-19T16:57:38.897000+00:00,2026-06-19T17:03:27.359000+00:00,348,42,81,3216533,2.20,Revise plan per review
003,subagent,subagent:general-purpose,worker,general-purpose,agent-a3991905d71bc69ff.jsonl,2026-06-19T17:33:19.572000+00:00,2026-06-19T17:39:02.333000+00:00,343,22,59,2259104,2.09,Review session-core implementation
003,subagent,subagent:general-purpose,worker,general-purpose,agent-aab23a2a3fbb2f6ff.jsonl,2026-06-19T18:12:54.813000+00:00,2026-06-19T18:17:26.156000+00:00,271,37,73,2850270,2.02,Revise split-2 plan per review
003,subagent,subagent:general-purpose,root,general-purpose,agent-ad928612542254d6c.jsonl,2026-06-19T14:23:45.812000+00:00,2026-06-19T14:31:02.333000+00:00,437,25,69,2204600,1.93,Author slice 003 session management
003,subagent,subagent:general-purpose,worker,general-purpose,agent-ae73ba23790fe69cc.jsonl,2026-06-19T16:45:15.096000+00:00,2026-06-19T16:53:05.145000+00:00,470,24,62,1993707,1.89,Write session-core plan
003,subagent,subagent:general-purpose,worker,general-purpose,agent-a1dbecd10767b4ee9.jsonl,2026-06-19T17:08:51.192000+00:00,2026-06-19T17:13:22.437000+00:00,271,30,63,2407886,1.84,Fix resumedFrom regression in plan
003,subagent,subagent:general-purpose,contracts,general-purpose,agent-a9f875f973f4b16c2.jsonl,2026-06-19T16:07:36.182000+00:00,2026-06-19T16:12:32.116000+00:00,296,36,76,2419227,1.72,Revise contracts plan per review
003,manager,manager:root,root,,522b0c9e-3fed-4b95-8565-9e88e9cf9834,2026-06-19T21:54:57.850000+00:00,2026-06-19T21:57:23.197000+00:00,145,14,48,949722,1.71,34/57 mentions -> 003
003,subagent,subagent:general-purpose,root,general-purpose,agent-a9c10666f37597ff2.jsonl,2026-06-19T14:24:04.638000+00:00,2026-06-19T14:29:56.627000+00:00,352,19,53,1406154,1.65,Author slice 004 worker MCP server
003,subagent,subagent:general-purpose,bot,general-purpose,agent-a18a92c5ad1f97158.jsonl,2026-06-19T19:23:26.696000+00:00,2026-06-19T19:29:11.635000+00:00,345,18,45,1462903,1.62,Plan bot Sessions view
003,subagent,subagent:general-purpose,worker,general-purpose,agent-a34547c7ad5018384.jsonl,2026-06-19T17:46:15.881000+00:00,2026-06-19T17:50:11.171000+00:00,235,20,54,1801566,1.57,Re-review the fixes
003,subagent,subagent:general-purpose,worker,general-purpose,agent-a4ac1ca44f7f9673c.jsonl,2026-06-19T17:41:51.305000+00:00,2026-06-19T17:45:23.442000+00:00,212,36,69,2091316,1.55,Fix code review findings
003,subagent,subagent:general-purpose,controller,general-purpose,agent-acfd5c33b8fe77cef.jsonl,2026-06-19T19:00:29.598000+00:00,2026-06-19T19:04:28.623000+00:00,239,38,69,1962728,1.46,Implement controller session proxy
003,subagent,subagent:general-purpose,root,general-purpose,agent-a6e5d3283b28b4582.jsonl,2026-06-19T07:18:46.584000+00:00,2026-06-19T07:24:08.720000+00:00,322,19,50,1365078,1.45,Author slice 007 controller resilience
003,subagent,subagent:general-purpose,root,general-purpose,agent-a5c9d1714f507ea48.jsonl,2026-06-19T14:25:12.513000+00:00,2026-06-19T14:31:11.167000+00:00,359,23,63,1635163,1.43,Author slice 012 readonly kubeconfig
003,subagent,subagent:general-purpose,root,general-purpose,agent-a0e0efafc9c6c5587.jsonl,2026-06-19T19:47:21.040000+00:00,2026-06-19T19:49:59.679000+00:00,159,17,51,1179880,1.42,Investigate worker session code
003,subagent,subagent:general-purpose,contracts,general-purpose,agent-ab5e8271a723e0112.jsonl,2026-06-19T16:25:31.249000+00:00,2026-06-19T16:29:33.473000+00:00,242,25,53,1699672,1.36,Review contracts slice-003 code
003,subagent,subagent:general-purpose,contracts,general-purpose,agent-a83bdfdd5e195a391.jsonl,2026-06-19T16:01:25.320000+00:00,2026-06-19T16:05:58.330000+00:00,273,20,51,1374176,1.35,Review contracts slice-003 plan
003,subagent,subagent:general-purpose,worker,general-purpose,agent-ac31c07629e963918.jsonl,2026-06-19T17:03:51.415000+00:00,2026-06-19T17:07:24.487000+00:00,213,16,38,1160805,1.33,Re-review revised plan
003,subagent,subagent:general-purpose,root,general-purpose,agent-ab2b81881ea726193.jsonl,2026-06-19T15:26:41.987000+00:00,2026-06-19T15:32:37.316000+00:00,355,19,47,1348978,1.30,Re-author slice 004 with new model
003,manager,manager:root,root,,e4010999-3de3-400c-abb5-6cbcb155a6b8,2026-06-19T23:02:25.151000+00:00,2026-06-19T23:04:59.539000+00:00,154,13,42,706797,1.29,8/16 mentions -> 003
003,subagent,subagent:general-purpose,root,general-purpose,agent-a1bee2cdf1ea4c615.jsonl,2026-06-19T15:27:04.778000+00:00,2026-06-19T15:32:00.116000+00:00,295,15,34,934313,1.28,Re-author slice 012 with new model
003,subagent,subagent:Explore,root,Explore,agent-aa9a8243ee18449ee.jsonl,2026-06-19T07:01:45.555000+00:00,2026-06-19T07:06:25.167000+00:00,280,25,76,1401393,1.21,"Ground pod composer, storage, ESO, dev image"
003,subagent,subagent:general-purpose,root,general-purpose,agent-ac98587e77923f0f7.jsonl,2026-06-19T07:29:13.450000+00:00,2026-06-19T07:34:16.698000+00:00,303,65,87,1661565,1.20,Trello triage hygiene updates
003,subagent,subagent:general-purpose,contracts,general-purpose,agent-a3c5a32dc145af745.jsonl,2026-06-19T15:54:47.566000+00:00,2026-06-19T15:59:37.361000+00:00,290,14,42,905424,1.18,Write contracts slice-003 plan
003,subagent,subagent:general-purpose,bot,general-purpose,agent-a86a3626430fd4845.jsonl,2026-06-19T19:29:57.690000+00:00,2026-06-19T19:32:39.849000+00:00,162,16,42,1166133,1.15,Review bot Sessions plan
003,subagent,subagent:Explore,root,Explore,agent-a45bd9b6fc9587e31.jsonl,2026-06-19T07:01:05.935000+00:00,2026-06-19T07:04:04.740000+00:00,179,16,61,936297,1.14,Ground manifest schema + env lifecycle
003,subagent,subagent:general-purpose,worker,general-purpose,agent-ab552280f7ca81ab1.jsonl,2026-06-19T18:08:25.764000+00:00,2026-06-19T18:12:02.705000+00:00,217,13,38,985045,1.13,Review split-2 plan
003,subagent,subagent:general-purpose,root,general-purpose,agent-a684dd6fe324798f6.jsonl,2026-06-19T07:19:11.117000+00:00,2026-06-19T07:24:32.397000+00:00,321,27,59,1314355,1.12,Author slice 009 github drop ro
003,subagent,subagent:general-purpose,root,general-purpose,agent-af0579a7aac84245f.jsonl,2026-06-19T07:20:19.353000+00:00,2026-06-19T07:23:40.379000+00:00,201,14,36,891776,1.05,Author slice 013 bot UX polish
003,subagent,subagent:general-purpose,worker,general-purpose,agent-af1114400e466bf63.jsonl,2026-06-19T16:53:56.982000+00:00,2026-06-19T16:56:47.004000+00:00,170,13,43,934201,1.02,Review session-core plan
003,subagent,subagent:general-purpose,bot,general-purpose,agent-a7255ccea4d212680.jsonl,2026-06-19T19:38:59.056000+00:00,2026-06-19T19:41:26.412000+00:00,147,14,38,960596,0.97,Review bot Sessions code
003,subagent,subagent:Explore,root,Explore,agent-aeb59fbe5b8320f29.jsonl,2026-06-19T07:01:23.824000+00:00,2026-06-19T07:04:43.927000+00:00,200,16,54,758490,0.96,Ground github capability + tunnel naming
003,subagent,subagent:general-purpose,worker,general-purpose,agent-a3a9ea34c0c42d68f.jsonl,2026-06-19T18:42:51.602000+00:00,2026-06-19T18:46:09.078000+00:00,197,19,39,995412,0.95,Fix split-2 code review findings
003,subagent,subagent:general-purpose,worker,general-purpose,agent-a003b27cc1c30caa2.jsonl,2026-06-19T18:46:42.496000+00:00,2026-06-19T18:50:05.623000+00:00,203,14,32,916926,0.95,Re-review split-2 fixes
003,subagent,subagent:general-purpose,worker,general-purpose,agent-a5821894b8547da07.jsonl,2026-06-19T17:13:45.391000+00:00,2026-06-19T17:15:51.987000+00:00,127,9,23,583849,0.92,Final plan re-review
003,subagent,subagent:Explore,root,Explore,agent-a828a26851d70a06a.jsonl,2026-06-19T07:00:56.818000+00:00,2026-06-19T07:03:56.200000+00:00,179,14,45,602638,0.91,Ground session/resume/tmux model
003,subagent,subagent:general-purpose,worker,general-purpose,agent-ae887dbcab8fdf9c3.jsonl,2026-06-19T18:17:53.775000+00:00,2026-06-19T18:20:49.654000+00:00,176,10,27,707271,0.89,Re-review revised split-2 plan
003,subagent,subagent:general-purpose,contracts,general-purpose,agent-a5e6cc52db2674117.jsonl,2026-06-19T16:13:06.730000+00:00,2026-06-19T16:16:03.115000+00:00,176,12,34,764112,0.89,Re-review revised contracts plan
003,subagent,subagent:general-purpose,root,general-purpose,agent-a51a91e659470c38b.jsonl,2026-06-19T07:20:00.193000+00:00,2026-06-19T07:23:06.838000+00:00,187,14,35,699932,0.88,Author slice 011 local imagevolume
003,subagent,subagent:general-purpose,root,general-purpose,agent-a11ded554a47fa1a8.jsonl,2026-06-19T14:24:54.050000+00:00,2026-06-19T14:28:13.665000+00:00,200,15,30,741073,0.83,Author slice 008 env ergonomics
003,subagent,subagent:general-purpose,root,general-purpose,agent-a64f8c4b0c9427555.jsonl,2026-06-19T07:19:37+00:00,2026-06-19T07:22:55.756000+00:00,199,15,35,633512,0.71,Author slice 010 controller quick wins
003,subagent,subagent:general-purpose,root,general-purpose,agent-a67da50756521675e.jsonl,2026-06-25T21:27:37.271000+00:00,2026-06-25T21:29:40.463000+00:00,123,3,18,177203,0.67,Extract test items slices 003-008
003,subagent,subagent:Explore,root,Explore,agent-ac42a9613da55dc28.jsonl,2026-06-19T07:01:15.409000+00:00,2026-06-19T07:03:56.374000+00:00,161,14,50,579687,0.67,Ground watch + events + pod status
003,subagent,subagent:general-purpose,root,general-purpose,agent-a3f1999069bd913c1.jsonl,2026-06-19T19:48:06.058000+00:00,2026-06-19T19:49:11.891000+00:00,66,7,19,333357,0.61,Investigate bot Sessions view
003,subagent,subagent:general-purpose,controller,general-purpose,agent-a7cfd287b58961024.jsonl,2026-06-19T19:06:04.214000+00:00,2026-06-19T19:08:30.021000+00:00,146,11,35,467752,0.57,Review controller session proxy
003,subagent,subagent:general-purpose,root,general-purpose,agent-a9a16328848f11fa6.jsonl,2026-06-25T21:27:48.100000+00:00,2026-06-25T21:28:44.066000+00:00,56,2,14,98399,0.54,Extract test items slices 007-012
003,subagent,subagent:general-purpose,root,general-purpose,agent-a5a10233b0172ffde.jsonl,2026-06-19T19:47:36.264000+00:00,2026-06-19T19:49:22.736000+00:00,106,6,21,243532,0.54,Investigate VS Code tasks and CLI picker
003,subagent,subagent:general-purpose,root,general-purpose,agent-a955a80caa569958b.jsonl,2026-06-25T21:28:19.857000+00:00,2026-06-25T21:28:49.868000+00:00,30,2,14,94822,0.52,Extract test items slices 029-036
003,subagent,subagent:Explore,root,Explore,agent-ab2ac198655100e17.jsonl,2026-06-19T14:25:25.777000+00:00,2026-06-19T14:26:52.798000+00:00,87,7,22,214751,0.52,Locate bot env-detail and action code
003,subagent,subagent:general-purpose,root,general-purpose,agent-a5d667db6ffbe040a.jsonl,2026-06-25T21:28:10.324000+00:00,2026-06-25T21:28:43.404000+00:00,33,2,14,89929,0.49,Extract test items slices 023-027
003,subagent,subagent:Explore,root,Explore,agent-ac57c085d78191375.jsonl,2026-06-19T14:24:57.763000+00:00,2026-06-19T14:26:33.516000+00:00,96,9,27,224435,0.47,Explore manifest model + setup in code
003,subagent,subagent:Explore,root,Explore,agent-a7a40ff4ef2cb4778.jsonl,2026-06-19T14:25:18.044000+00:00,2026-06-19T14:27:02.531000+00:00,104,8,26,268611,0.47,Locate controller sync-relevant code
003,subagent,subagent:general-purpose,root,general-purpose,agent-a863709b93e20557e.jsonl,2026-06-19T19:47:53.834000+00:00,2026-06-19T19:49:05.830000+00:00,72,7,22,241354,0.44,Investigate controller session proxy
003,subagent,subagent:general-purpose,root,general-purpose,agent-a0a5513cbde464bd0.jsonl,2026-06-25T21:27:57.515000+00:00,2026-06-25T21:28:33.812000+00:00,36,2,16,76944,0.41,"Extract test items slices 013-021,016-018"
003,manager,manager:controller,controller,,bc6302fc-15aa-487e-b125-68dbddf7899c,2026-06-20T20:40:26.332000+00:00,2026-06-20T20:41:12.444000+00:00,46,4,12,163429,0.32,9/14 mentions -> 003
003,subagent,subagent:Explore,root,Explore,agent-a54b38fc2d6bff9fd.jsonl,2026-06-19T07:01:32.357000+00:00,2026-06-19T07:03:26.848000+00:00,114,10,37,226882,0.31,Ground fuzzy matching in controller
003,subagent,subagent:Explore,root,Explore,agent-aa0fc330bab3a40cf.jsonl,2026-06-19T14:25:03.920000+00:00,2026-06-19T14:26:33.858000+00:00,90,8,26,196149,0.31,Explore Environment model + bot rendering
003,subagent,subagent:general-purpose,worker,general-purpose,agent-a302b2a59ffb78fd8.jsonl,2026-06-19T18:21:11.585000+00:00,2026-06-19T18:21:44.068000+00:00,32,4,8,99471,0.22,Fix §9 contradiction in split-2 plan
003,subagent,subagent:general-purpose,controller,general-purpose,agent-a970d56c40a32d96d.jsonl,2026-06-19T19:09:16.377000+00:00,2026-06-19T19:09:49.386000+00:00,33,5,10,100572,0.18,Add worker-client seam test
